Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003584
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003592
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003601
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003609
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003618
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003632
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003646
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003662
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003677
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003685
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003695
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003703
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003712
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003726
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003734
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003743
End: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003757
Start: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003782
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003799
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003814
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003829
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003839
